room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
2,1,1,56.1,6,1390,7,9,149733,840
2,1,1,59.99,14,846,4,12,56509,339
2,2,1,93.99,13,1351,2,8,45750,430
2,1,1,76.08,21,504,10,8,46530,354
2,1,1,51.29,6,510,21,12,56931,292
2,2,2,118.56,13,1047,5,13,39642,470
2,2,1,91.51,7,280,2,9,46989,430
2,2,2,104.53,32,529,0,12,60270,630
1,1,1,50.01,6,528,9,13,69786,349
2,1,1,54.39,6,549,0,12,109947,598
1,1,1,52.03,10,568,11,14,62656,326
3,1,1,83.14,6,,22,17,33077,275
2,1,1,54.4,16,248,14,12,70772,385
4,1,1,109.8,6,1390,8,15,149818,1645
2,1,1,99.79,18,854,0,10,74657,745
2,1,1,67.72,5,73,7,12,88009,596
3,2,1,129.74,12,542,6,10,62895,816
2,1,1,59.05,6,,8,12,49958,295
3,1,1,88.73,5,296,13,10,83399,740
2,1,1,56.4,6,485,6,11,120567,680
2,1,1,54.6,6,743,3,8,82418,450
3,1,1,65.5,6,414,6,16,74809,490
3,1,1,87.13,14,489,11,13,79192,690
1,1,1,34.6,24,579,7,13,73699,255
2,1,1,54.91,6,702,19,10,44618,245
3,2,2,132.87,18,796,0,9,97087,1290
3,1,1,80.4,6,476,5,11,98259,790
2,1,1,61.9,14,343,18,15,58481,362
3,1,1,96.44,26,556,10,10,48217,465
3,1,1,121.91,20,549,3,10,41014,500
1,1,1,64.37,22,1097,7,9,56999,366
1,1,1,44.41,5,73,48,11,90070,400
1,1,1,82.6,28,521,3,11,64165,530
3,1,1,63.2,5,720,3,11,149842,947
2,1,2,97.65,18,219,2,10,94726,925
2,1,1,52.39,6,590,4,8,62035,325
2,1,1,92.23,21,839,5,10,53128,490
2,1,1,97.75,16,1135,2,16,54015,528
3,1,2,138.75,6,,7,13,34234,475
1,1,1,67.93,6,495,7,15,51524,350
2,2,1,101.27,6,677,7,9,46411,470
2,1,1,81.93,23,502,1,15,77993,639
1,1,1,44.3,6,484,19,15,87585,388
1,1,1,67.62,28,511,14,12,48802,330
2,1,1,86.59,26,858,18,14,54048,468
2,1,1,91.11,23,659,6,11,70794,645
3,2,2,137.59,7,,1,12,60688,835
3,2,2,146.51,15,879,3,10,69620,1020
2,1,1,66.94,6,781,59,15,34359,230
3,1,1,61.7,6,752,9,9,111831,690
2,1,1,57.1,9,357,32,11,99825,570
2,1,1,54.01,6,894,13,14,100907,545
3,2,1,57.46,16,434,17,15,83536,480
3,1,2,142.37,12,664,3,17,94823,1350
2,1,1,93.18,17,835,6,8,48294,450
2,1,1,84.47,29,298,7,11,45697,386
1,1,1,64.02,26,108,6,14,67167,430
2,1,1,63.5,6,615,21,14,51969,330
2,1,1,40.4,6,679,30,13,105941,428
2,1,1,81.18,6,,6,9,42991,349
4,1,2,160.62,22,509,6,7,71598,1150
2,2,1,102.27,28,500,11,9,63557,650
2,1,1,68.74,2,467,2,20,145330,999
3,2,2,132.93,5,637,2,23,42880,570
1,1,1,58.01,17,868,3,19,37580,218
2,1,1,80.41,6,,3,38,20520,165
2,1,1,90.08,15,868,1,17,34636,312
2,1,1,62.4,6,610,1,0,87340,545
3,1,1,61.52,6,992,4,0,51203,315
1,1,1,66.28,30,1047,0,0,77248,512
1,1,1,55.85,6,158,3,0,68935,385
2,1,1,125.71,11,529,0,0,55684,700
2,1,1,55.64,6,1004,1,0,41697,232
1,1,1,32.86,30,457,2,0,81862,269
2,1,1,70.12,6,1432,0,0,43497,305
2,2,1,101.38,32,680,0,0,48333,490
2,2,1,108.02,10,819,0,0,51842,560
1,1,1,53.73,6,,1,0,45598,245
3,2,2,124.81,29,596,1,0,98309,1227
1,1,1,73.36,11,,0,0,47710,350
3,2,1,113.79,16,911,14,9,83927,955
2,1,1,60.8,6,419,1,4,88487,538
2,2,1,88.18,24,290,3,11,55115,486
3,1,1,79.28,25,368,5,15,79465,630
2,1,1,66.6,7,1390,1,4,133634,890
2,1,1,49.09,6,765,2,1,74353,365
2,1,1,63.3,20,719,3,1,131122,830
2,1,1,50.06,10,714,2,3,71914,360
1,1,1,46.39,32,105,3,2,67903,315
2,1,1,57,6,487,3,11,73684,420
1,1,1,44.41,24,211,4,9,64175,285
3,1,1,83.8,6,462,4,12,106205,890
2,1,1,58.92,6,,2,15,53971,318
2,1,1,74.42,11,162,0,10,127116,946
2,1,1,51.1,5,1164,2,12,85127,435
3,2,1,109,28,509,3,12,60550,660
2,1,1,58.47,6,614,2,7,98341,575
1,1,1,62.07,10,652,11,11,75399,468
2,1,1,56.8,6,1178,12,11,77465,440
2,1,1,55.71,5,910,9,12,43439,242
2,1,1,52,6,763,7,8,146154,760
