room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
4,2,2,162.33,22,308,2,0,74540,1210
3,2,2,161.32,16,691,0,0,85544,1380
1,1,1,66.24,17,540,0,0,99638,660
2,2,2,124.37,15,691,0,0,73973,920
1,1,1,57.26,12,993,7,0,52043,298
3,1,1,118.48,6,1159,2,0,43889,520
4,2,2,179.95,25,450,1,0,102806,1850
2,1,1,87.63,29,814,1,0,52493,460
3,1,1,72.17,6,978,2,0,73438,530
2,1,1,79.92,14,725,1,0,123874,990
1,1,1,49.08,17,404,0,0,143643,705
2,1,1,80.23,17,725,2,0,143338,1150
3,1,1,107.19,7,1077,2,0,82097,880
1,1,1,53.73,21,639,2,0,57696,310
1,1,1,101.38,26,418,1,0,64115,650
1,1,1,80.23,26,450,3,0,82263,660
1,1,1,56.86,12,993,15,0,49244,280
3,1,1,75.98,8,289,10,0,43432,330
2,1,1,71.81,6,1015,1,0,45955,330
1,1,1,47.66,16,725,1,0,144775,690
1,1,1,105.14,14,750,6,0,76089,800
1,1,1,73.28,19,731,3,0,100710,738
3,2,2,128.94,6,997,3,0,43276,558
3,1,1,142.25,6,,1,0,35079,499
3,2,2,146.92,19,179,4,0,97332,1430
2,1,1,53.95,5,831,5,0,119184,643
2,2,2,170.38,16,750,1,0,75126,1280
3,1,1,89.45,6,348,2,0,72666,650
3,2,2,119.37,16,1020,3,0,49007,585
2,2,1,94.38,25,816,0,0,54567,515
3,2,2,154.24,7,633,0,0,77801,1200
4,2,2,217.12,26,1329,1,0,80140,1740
3,1,1,67.2,6,717,7,0,93006,625
1,1,1,44.96,6,1013,4,0,76735,345
2,1,1,96.87,27,857,1,0,118716,1150
2,1,1,64.3,6,883,4,0,87092,560
3,2,1,92.29,6,837,3,0,81807,755
2,1,2,90.39,18,861,13,0,55869,505
2,1,1,57.95,6,888,10,0,66091,383
3,1,1,111.04,10,461,4,0,46380,515
3,1,1,78.8,7,909,6,0,53299,420
1,1,1,48.75,18,1049,5,1,58462,285
2,1,1,93.66,24,804,0,0,64916,608
3,2,1,103.74,14,1207,6,0,118566,1230
4,2,2,133.7,20,433,6,0,97233,1300
2,1,1,76.7,16,461,2,0,67797,520
4,2,2,153.52,8,117,2,0,117249,1800
2,1,1,90.83,16,1020,3,0,47341,430
3,1,1,72.6,6,823,10,0,52342,380
2,1,1,95.69,23,510,0,0,112864,1080
2,1,1,71.8,16,1178,1,2,74930,538
2,1,1,90.56,22,,0,2,80610,730
2,1,1,59.29,6,174,1,7,109631,650
3,2,1,117,21,,1,3,51197,599
2,1,1,52.59,6,608,0,0,114090,600
3,2,2,109.54,11,438,0,0,81979,898
1,1,1,67.27,13,787,0,0,43853,295
0,0,0,60.42,24,326,7,1,31447,190
2,1,1,43.26,5,504,13,22,52011,225
1,1,1,39.2,6,656,2,18,126531,496
2,1,1,52.3,6,653,1,17,116444,609
2,1,1,54.15,6,707,4,12,68329,370
2,1,1,58.34,6,735,1,9,47137,275
2,1,1,62.2,18,118,5,14,105305,655
2,1,1,53.29,6,737,15,18,51604,275
2,1,1,71.62,6,,7,33,30718,220
2,2,1,101.61,6,,2,22,21651,220
2,1,1,48.9,5,390,0,1,106339,520
2,1,1,100.92,21,335,2,1,70353,710
3,2,2,126.23,11,1000,0,3,51493,650
3,2,2,152.75,24,291,1,2,88380,1350
2,1,1,59.09,6,232,2,2,67693,400
2,1,1,58,18,198,3,8,108621,630
2,1,1,64.98,16,813,1,1,55402,360
2,1,1,52.8,6,698,1,3,92803,490
3,1,1,79.76,5,730,0,1,67703,540
2,1,1,78.01,14,603,0,1,98064,765
5,2,2,188.99,8,,0,1,43918,830
2,1,1,59.89,6,643,0,1,65119,390
2,1,1,57.59,6,1013,2,10,68588,395
3,2,2,139.97,9,441,1,13,46439,650
2,1,1,63.9,20,1151,1,43,139280,890
2,1,1,90.07,23,289,2,20,43078,388
3,1,1,72.4,6,670,6,20,46961,340
2,1,1,53.28,5,650,13,20,55931,298
2,2,1,102,7,492,3,25,41667,425
2,1,2,115.7,21,847,1,23,52723,610
2,2,2,133.86,25,643,3,25,70223,940
2,1,1,96.39,13,487,1,17,71584,690
2,1,1,74.41,6,364,1,19,65179,485
3,1,1,90.26,6,,8,19,45424,410
3,1,2,106.07,19,453,8,25,37240,395
2,1,1,60.4,12,460,11,17,94371,570
1,1,1,42.25,6,1420,30,21,29586,125
2,1,1,86.92,11,,10,20,30258,263
2,1,1,89.32,22,511,4,17,54075,483
1,1,1,45,20,829,10,25,73111,329
1,1,1,47.69,20,829,7,16,71294,340
2,1,1,74,21,289,12,23,41892,310
2,1,1,99.14,20,384,9,15,36817,365
3,2,2,97.11,9,440,2,16,45824,445
1,1,1,53.67,12,162,4,20,126700,680
2,1,1,62.73,16,716,4,20,61374,385
2,1,1,60.55,6,497,2,20,89843,544
1,1,1,67,15,934,8,17,57463,385
3,1,1,53.98,5,1103,58,20,40756,220
2,1,1,81.48,6,966,16,19,28841,235
3,1,1,88.9,15,1084,3,17,41845,372
2,1,1,85.75,15,,2,18,33120,284
1,1,1,36.08,5,232,27,24,80377,290
2,1,1,83.52,29,510,9,18,52083,435
2,1,1,59,6,232,24,17,69492,410
3,1,1,96.43,12,628,6,19,46459,448
3,1,2,140.61,6,781,14,16,34137,480
2,1,1,81.95,6,433,8,20,20744,170
2,2,1,85.66,15,,11,35,27317,234
3,2,2,158.93,13,327,24,19,31397,499
2,1,1,82.23,6,966,20,19,28578,235
2,2,2,99.62,24,542,7,27,75286,750
2,1,1,86.59,11,,4,25,24252,210
2,1,1,52.48,6,702,39,19,51448,270
3,2,2,116.97,6,,2,14,22228,260
2,1,1,79.06,28,691,25,18,46800,370
3,2,2,109.82,6,795,7,17,32781,360
2,1,1,93.77,16,494,4,16,31887,299
2,1,1,80.82,6,335,4,11,27963,226
2,1,1,86.6,6,781,2,15,38106,330
2,1,1,62.04,16,915,0,10,104771,650
3,1,1,87.96,6,258,1,7,73897,650
1,1,1,44.76,10,285,3,3,68588,307
2,2,1,114.83,17,491,0,1,63572,730
2,2,1,96.24,6,539,0,4,91438,880
2,1,1,73.71,6,637,1,1,48162,355
1,1,1,63.04,20,435,0,3,38388,242
2,1,1,49.7,5,479,0,1,124748,620
1,1,1,50.16,12,712,1,6,68780,345
3,2,2,122.22,11,,0,1,63819,780
2,1,1,96.31,13,164,0,1,44440,428
3,1,1,88.2,16,706,0,2,116780,1030
2,1,1,113.34,16,338,1,1,97053,1100
1,1,1,48.9,18,,1,2,64417,315
2,1,1,61.55,6,703,0,2,92608,570
1,1,1,33.5,5,146,1,2,143284,480
3,2,2,121.57,31,542,0,2,61693,750
3,1,1,97.78,24,549,2,1,41726,408
3,1,1,68.9,6,373,29,19,113208,780
1,1,1,54.34,1,467,6,29,149061,810
2,1,1,72.22,6,,3,20,29078,210
2,1,1,81.71,18,382,8,27,43813,358
2,1,1,48.3,18,610,5,10,128986,623
4,2,2,134.62,22,966,1,12,92854,1250
2,1,1,68.79,6,793,2,13,39250,270
2,1,1,76.31,25,386,3,9,64212,490
1,1,1,41.6,6,679,2,2,92548,385
1,1,1,47.11,6,,2,7,47124,222
1,1,1,43,12,367,2,2,89767,386
3,1,1,86.9,5,665,0,1,94937,825
3,2,2,131.9,6,,4,1,24943,329
1,1,1,56.33,11,551,2,2,55920,315
2,1,1,60.4,6,429,0,2,90232,545
1,1,1,71.72,14,476,1,1,46012,330
1,1,1,61.09,6,,2,5,43870,268
2,1,1,113.85,21,,0,1,53228,606
2,1,1,56.2,6,197,7,2,53381,300
2,2,2,121.9,19,382,3,7,36916,450
3,1,2,114.72,24,726,0,1,54916,630
2,1,1,50.66,5,387,9,6,51323,260
3,1,1,56.42,5,,2,2,88267,498
2,1,1,78,29,855,0,4,44872,350
3,1,1,70.04,18,368,1,1,81382,570
2,1,1,60.2,6,516,3,6,51163,308
2,1,1,61.32,6,500,3,1,70124,430
1,1,1,47.48,18,693,11,1,57919,275
2,1,1,54.2,5,1436,0,4,136531,740
2,1,1,76.94,6,,0,2,46140,355
1,1,1,64.09,18,961,10,8,32142,206
2,1,1,81.31,27,819,2,2,56574,460
2,1,1,74.95,18,490,1,7,90727,680
2,1,1,94.58,10,,0,1,44407,420
3,2,1,122.13,7,666,1,1,41759,510
1,1,1,68.02,18,1183,1,1,47780,325
1,1,1,48.42,21,940,2,1,54523,264
1,1,1,68.33,28,814,0,1,55466,379
2,2,1,89.71,6,,0,3,40352,362
1,1,1,67.21,6,,1,2,38536,259
2,1,1,94.1,10,,1,5,43039,405
2,1,1,69.36,6,727,2,7,51182,355
3,1,1,83.57,22,151,6,6,78976,660
3,1,1,92.69,7,,2,2,70126,650
1,1,1,42.57,5,845,3,1,96312,410
1,1,1,36.5,6,590,1,4,120548,440
2,1,1,71.57,23,350,2,1,47506,340
1,1,1,44.47,5,1194,13,7,49472,220
1,0,1,36.86,20,460,0,4,71894,265
2,1,1,93.28,6,,0,5,38486,359
3,1,1,109.25,6,,2,3,48970,535
3,1,1,80.7,6,1050,1,7,85502,690
1,1,1,73.25,17,521,0,4,46416,340
3,2,2,179.38,3,789,1,5,45713,820
5,2,2,345.07,3,419,0,2,42020,1450
2,1,1,65.19,6,1187,2,2,104310,680
2,0,1,49.12,4,,6,2,44381,218
2,1,1,58.47,16,992,2,1,53874,315
1,1,1,66.43,21,1397,0,1,57203,380
2,1,1,78.5,16,1271,0,2,89045,699
2,1,1,81.54,6,581,0,1,50527,412
2,1,1,105.03,18,760,2,3,51319,539
2,1,1,61.9,14,343,6,3,57351,355
1,1,1,28.26,24,733,4,3,76079,215
1,1,1,38.53,6,870,4,2,64885,250
2,2,1,85.64,16,634,1,3,94115,806
2,2,2,42.49,16,,2,1,77665,330
2,1,1,94.53,11,745,0,1,142812,1350
2,1,1,56.66,6,1030,0,1,52947,300
1,1,1,54.78,16,707,0,1,57503,315
3,2,2,147.58,19,605,0,1,114514,1690
3,1,1,77.93,19,626,2,3,55178,430
3,2,2,143.58,8,1442,2,2,47709,685
2,1,1,75.37,17,,3,1,50418,380
3,2,2,127.9,6,936,1,2,35966,460
1,1,1,51,22,564,0,1,88627,452
1,1,1,49.36,18,919,1,2,86102,425
2,2,1,87.17,24,,2,4,51050,445
2,2,1,95.72,6,637,2,2,41684,399
