direct,actor,date,long,type,rate,comment_sum,name,money,year,country
鲁本·弗雷斯彻,汤姆·哈迪,2018-11-09,112.0,动作 ,7.3,225388.0,毒液：致命守护者,160357,2018,usa
迈克尔·贝,马克·沃尔伯格,2017-06-23,155.0,动作 ,4.8,154278.0,变形金刚5：最后的骑士,155124,2017,usa
胡安·安东尼奥·巴亚纳,克里斯·帕拉特,2018-06-15,128.0,动作 ,6.7,218486.0,侏罗纪世界2,169551,2018,usa
拜伦·霍华德 ,金妮弗·古德温,2016-03-04,109.0,喜剧 ,9.2,713245.0,疯狂动物城,153035,2016,usa
乔斯·韦登,小罗伯特·唐尼,2015-05-12,142.0,动作 ,7.2,278443.0,复仇者联盟2：奥创纪元,146439,2015,usa
胡安·安东尼奥·巴亚纳,克里斯·帕拉特,2018-06-15,128.0,动作 ,6.7,218487.0,侏罗纪世界,142073,2015,usa
史蒂文·斯皮尔伯格,泰伊·谢里丹,2018-03-30,140.0,动作 ,8.7,577089.0,头号玩家,139666,2018,usa
邓肯·琼斯,崔维斯·费米尔,2016-06-08,124.0,动作 ,7.7,209636.0,魔兽,147230,2016,usa
詹姆斯·卡梅隆,萨姆·沃辛顿,2010-01-04,162.0,动作 ,8.6,637453.0,阿凡达,133990,2010,usa
安东尼·罗素 ,克里斯·埃文斯,2016-05-06,148.0,动作 ,7.7,278825.0,美国队长3：英雄内战,124635,2016,usa
克里斯托弗·麦奎里,汤姆·克鲁斯,2018-08-31,147.0,动作 ,8.2,261418.0,碟中谍6：全面瓦解,124203,2018,usa
李·昂克里奇 ,安东尼·冈萨雷斯,2017-11-24,105.0,喜剧 ,9.0,593993.0,寻梦环游记,121186,2017,usa
艾斯彭·山德伯格 ,约翰尼·德普,2017-05-26,129.0,动作 ,7.2,217512.0,加勒比海盗5：死无对证,117991,2017,usa
张艺谋,马特·达蒙,2016-12-16,104.0,动作 ,4.9,262107.0,长城,117457,2016,usa
乔丹·沃格特-罗伯茨,汤姆·希德勒斯顿,2017-03-24,119.0,动作 ,6.6,146331.0,金刚：骷髅岛,116050,2017,usa
D·J·卡卢索,范·迪塞尔,2017-02-10,107.0,动作 ,5.6,84267.0,极限特工：终极回归,112741,2017,usa
保罗·安德森,米拉·乔沃维奇,2017-02-24,106.0,动作 ,6.5,156130.0,生化危机：终章,111182,2017,usa
迈克尔·贝,希亚·拉博夫,2011-07-21,154.0,动作 ,7.1,232522.0,变形金刚3,107189,2011,usa
凯尔·巴尔达 ,史蒂夫·卡瑞尔,2017-07-07,90.0,喜剧 ,6.8,151200.0,神偷奶爸3,103780,2017,usa
乔·德特杜巴,杰森·斯坦森,2018-08-10,115.0,动作 ,5.8,114100.0,巨齿鲨,104891,2018,usa
布拉德·佩顿,道恩·强森,2018-04-13,107.0,动作 ,6.4,94814.0,狂暴巨兽,100395,2018,usa
吕寅荣 ,杰克·布莱克,2016-01-29,95.0,喜剧 ,7.6,205267.0,功夫熊猫3,100200,2016,usa
乔恩·费儒,尼尔·塞西,2016-04-15,106.0,剧情 ,7.8,174354.0,奇幻森林,97939,2016,usa
王家卫,梁朝伟,2013-01-08,111.0,剧情,7.9,332403.0,泰坦尼克号3D,94620,2012,usa
雷尼·哈林,成龙,2016-07-21,111.0,喜剧 ,5.6,64594.0,绝地逃亡,88950,2016,usa
克里斯托弗·麦奎里,汤姆·克鲁斯,2015-09-08,131.0,动作 ,7.7,210441.0,碟中谍5：神秘国度,86977,2015,usa
佩顿·里德,保罗·路德,2018-08-24,118.0,动作 ,7.4,206675.0,蚁人2：黄蜂女现身,82927,2018,usa
J·J·艾布拉姆斯,黛西·雷德利,2016-01-09,135.0,动作 ,7.1,153954.0,星球大战：原力觉醒,82558,2016,usa
布莱恩·辛格,詹姆斯·麦卡沃伊,2016-06-03,144.0,动作 ,7.7,234371.0,X战警：天启,80292,2016,usa
